number;time;date;hour;minutes;seconds;delay;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749238667.8714833;2025-06-06;21;37;47;None;0.000288833660306409;0.2572042942047119;0.0;0.0;2;0.07344812154769897;0.07573863118886948;0.05170826241374016;0.049208421260118484
1;1749238668.1120255;2025-06-06;21;37;48;0.24054217338562012;0.0002844280970748514;0.25822579860687256;0.0;0.0;2;0.07344658672809601;0.07574541866779327;0.0516963005065918;0.0492192767560482
2;1749238668.3525672;2025-06-06;21;37;48;0.24054169654846191;5.436859607696533;0.25086021423339844;0.0;1.0;2;0.04056727886199951;0.039111651480197906;6.5915446281433105;6.588293552398682
3;1749238668.5881088;2025-06-06;21;37;48;0.23554158210754395;13.832491874694824;0.2867204546928406;0.0;1.0;2;0.06116461753845215;0.058868441730737686;0.2997431755065918;0.29502421617507935
