number;time;date;hour;minutes;seconds;delay;currentTime;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749411608.4348917;2025-06-08;21;40;8;None;0:00:018;0.002825783099979162;1.0;0.0;1.0;1;0.06777087599039078;0.032356347888708115;0.049674876034259796;0.036592401564121246
1;1749411608.5409105;2025-06-08;21;40;8;0.1060187816619873;0:00:129;0.0013439229223877192;1.0;0.0;1.0;1;0.0703396424651146;0.029348047450184822;0.052827250212430954;0.0332782007753849
2;1749411608.6814344;2025-06-08;21;40;8;0.14052391052246094;0:00:261;0.0026713169645518064;1.0;0.0;1.0;1;0.0673825666308403;0.032297033816576004;0.04932029917836189;0.036720119416713715
3;1749411608.8169582;2025-06-08;21;40;8;0.13552379608154297;0:00:399;0.0021726363338530064;1.0;0.0;1.0;1;0.07080653309822083;0.029145684093236923;0.05308226868510246;0.03300943970680237
4;1749411608.9494812;2025-06-08;21;40;8;0.1325230598449707;0:00:525;2.9365017414093018;0.6499999761581421;0.0;1.0;2;0.04298951476812363;0.13621562719345093;7.430422306060791;7.4207763671875
5;1749411609.0900066;2025-06-08;21;40;9;0.14052534103393555;0:00:666;6.608336448669434;0.6499999761581421;0.0;1.0;2;0.018321357667446136;0.013283560052514076;89.17884826660156;89.77366638183594
6;1749411609.2305303;2025-06-08;21;40;9;0.14052367210388184;0:00:810;9.885396957397461;0.6499999761581421;0.0;1.0;2;0.049208272248506546;0.03628893941640854;55.625064849853516;56.12541198730469
7;1749411609.356052;2025-06-08;21;40;9;0.12552165985107422;0:00:936;12.951614379882812;0.6499999761581421;0.0;1.0;2;0.05351242795586586;0.038080982863903046;36.638206481933594;37.00819396972656
8;1749411609.496577;2025-06-08;21;40;9;0.14052510261535645;0:01:074;16.418041229248047;0.6499999761581421;0.0;1.0;2;0.052520159631967545;0.038020968437194824;24.331066131591797;24.618030548095703
9;1749411609.6371014;2025-06-08;21;40;9;0.14052438735961914;0:01:218;20.024871826171875;0.6499999761581421;0.0;1.0;2;0.05627654492855072;0.037687432020902634;15.884459495544434;16.14244842529297
10;1749411609.772625;2025-06-08;21;40;9;0.13552355766296387;0:01:344;23.61943244934082;0.6499999761581421;0.0;1.0;2;0.06123284995555878;0.03313789144158363;9.716438293457031;9.948416709899902
11;1749411609.9181502;2025-06-08;21;40;9;0.14552521705627441;0:01:500;27.9998722076416;0.6499999761581421;0.0;1.0;2;0.061949312686920166;0.035318102687597275;3.570629835128784;3.7205774784088135
12;1749411610.0636759;2025-06-08;21;40;10;0.14552569389343262;0:01:641;31.83154296875;0.986000657081604;0.0;1.0;2;0.04953398182988167;0.047618646174669266;0.3161923289299011;0.31589171290397644
13;1749411610.205701;2025-06-08;21;40;10;0.14202523231506348;0:01:788;35.163639068603516;1.0;0.0;1.0;2;0.050767116248607635;0.04482013359665871;0.30984795093536377;0.30432623624801636
14;1749411610.3462248;2025-06-08;21;40;10;0.14052367210388184;0:01:929;38.60898971557617;1.0;0.0;1.0;2;0.052062101662158966;0.04417986795306206;0.31844276189804077;0.3198157548904419
15;1749411610.4867496;2025-06-08;21;40;10;0.14052486419677734;0:02:067;42.157875061035156;1.0;0.0;1.0;2;0.051222898066043854;0.044170159846544266;0.3226008117198944;0.322401225566864
16;1749411610.6272748;2025-06-08;21;40;10;0.14052510261535645;0:02:205;45.89274978637695;1.0;0.0;1.0;2;0.04992082342505455;0.04457884654402733;0.3338146209716797;0.33484649658203125
17;1749411610.763298;2025-06-08;21;40;10;0.13602328300476074;0:02:337;49.524532318115234;1.0;0.0;1.0;2;0.1420389711856842;0.22564177215099335;0.4300585389137268;0.35728394985198975
18;1749411610.9038227;2025-06-08;21;40;10;0.14052462577819824;0:02:487;53.544227600097656;1.0;0.0;1.0;2;0.14722362160682678;0.05564560741186142;0.43691515922546387;0.3223130702972412
19;1749411611.0443468;2025-06-08;21;40;11;0.14052414894104004;0:02:622;57.58590316772461;1.0;0.0;1.0;2;0.133828803896904;0.021255334839224815;0.5473547577857971;0.39311251044273376
20;1749411611.1848714;2025-06-08;21;40;11;0.14052462577819824;0:02:760;61.9998664855957;1.0;0.0;1.0;2;0.07768739759922028;0.021236905828118324;0.4033247232437134;0.3707284927368164
21;1749411611.3253965;2025-06-08;21;40;11;0.14052510261535645;0:02:904;66.24503326416016;1.0;0.0;1.0;2;0.051393166184425354;0.044611889868974686;0.4331139922142029;0.42913001775741577
22;1749411611.4659204;2025-06-08;21;40;11;0.14052391052246094;0:03:039;70.45911407470703;1.0;0.0;1.0;2;0.048818256705999374;0.04538106918334961;0.39504799246788025;0.395046591758728
23;1749411611.5994442;2025-06-08;21;40;11;0.13352370262145996;0:03:174;74.48395538330078;1.0;0.0;1.0;2;0.046890854835510254;0.1345217525959015;0.40812045335769653;0.39888250827789307
24;1749411611.7399688;2025-06-08;21;40;11;0.14052462577819824;0:03:321;78.56712341308594;1.0;0.0;1.0;2;0.05914856493473053;0.035162970423698425;0.40209779143333435;0.3682533800601959
25;1749411611.8804932;2025-06-08;21;40;11;0.14052438735961914;0:03:468;82.5208740234375;1.0;0.0;1.0;2;0.048458680510520935;0.047466304153203964;0.3608397841453552;0.3504611551761627
26;1749411612.021017;2025-06-08;21;40;12;0.14052391052246094;0:03:600;86.272216796875;1.0;0.0;1.0;2;0.04853721708059311;0.03975231572985649;0.2225218117237091;0.2215864509344101
27;1749411612.1615415;2025-06-08;21;40;12;0.14052438735961914;0:03:747;86.61419677734375;1.0;0.0;1.0;2;0.08633725345134735;0.012119360268115997;0.23991407454013824;0.19065675139427185
28;1749411612.3020668;2025-06-08;21;40;12;0.14052534103393555;0:03:888;86.91339874267578;1.0;0.0;1.0;2;0.05250091478228569;0.04922231659293175;0.13427212834358215;0.1319827139377594
29;1749411612.4425907;2025-06-08;21;40;12;0.14052391052246094;0:04:023;87.11036682128906;1.0;0.0;1.0;2;0.04475275054574013;0.04782244190573692;0.05244644731283188;0.04982827231287956
30;1749411612.583116;2025-06-08;21;40;12;0.14052534103393555;0:04:167;87.1286392211914;1.0;0.0;1.0;1;0.04565061256289482;0.04375677928328514;0.04674887657165527;0.04691578820347786
31;1749411612.72364;2025-06-08;21;40;12;0.14052391052246094;0:04:293;86.86283874511719;1.0;0.0;1.0;1;0.05156061798334122;0.045252591371536255;0.04206452891230583;0.041336946189403534
32;1749411612.8641644;2025-06-08;21;40;12;0.14052438735961914;0:04:437;90.46436309814453;1.0;0.0;1.0;3;0.048040103167295456;0.04442233219742775;0.2578935921192169;0.256218284368515
33;1749411613.0046892;2025-06-08;21;40;13;0.14052486419677734;0:04:584;93.68807220458984;1.0;0.0;1.0;3;0.06319268047809601;0.036848291754722595;0.30804845690727234;0.2956216037273407
34;1749411613.1457138;2025-06-08;21;40;13;0.14102458953857422;0:04:731;97.00897216796875;1.0;0.0;1.0;3;0.04865093156695366;0.04729953408241272;0.2753700911998749;0.273250937461853
35;1749411613.2812376;2025-06-08;21;40;13;0.13552379608154297;0:04:857;100.21617126464844;1.0;0.0;1.0;3;0.04758802428841591;0.04815882444381714;0.2827747166156769;0.2801588773727417
36;1749411613.382255;2025-06-08;21;40;13;0.10101747512817383;0:04:956;102.48696899414062;1.0;0.0;1.0;3;0.12672577798366547;0.21428915858268738;0.27735817432403564;0.24714362621307373
